CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,word_count,negative_score,positive_score,polarity_point,Avg_sent_lenght,complex_word_count,percentage_of_complex_words,uncertainty_score,constraining_score,fog_index,positive_word_proportion,negative_word_proportion,uncertainity_word_proportion,constraining_word_proportion,constraining_words_whole_report
4515,AMERICAN AIRLINES INC,200904,2009-04-16,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000018.txt,7710,84,387,-0.6433121005449849,20.130548302872064,3292,0.42697795071335926,166,105,8.22301050143417,0.010894941634241245,0.05019455252918288,0.02153047989623865,0.013618677042801557,1.5902517868371983e-05
4515,AMERICAN AIRLINES INC,200907,2009-07-15,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000029.txt,23094,236,960,-0.6053511700624153,20.081739130434784,10521,0.45557287607170693,471,379,8.214924802602596,0.010219104529314973,0.04156923876331515,0.020394907768251494,0.016411189053433792,5.7400516877266485e-05
4515,AMERICAN AIRLINES INC,200910,2009-10-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000039.txt,12160,144,594,-0.6097560967347478,18.970358814352576,5520,0.45394736842105265,305,174,7.769722473109451,0.011842105263157895,0.048848684210526315,0.025082236842105265,0.014309210526315789,2.6352743896159283e-05
4515,AMERICAN AIRLINES INC,200911,2009-11-06,10-Q/A,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000041.txt,2304,6,78,-0.8571428469387756,20.38938053097345,1229,0.5334201388888888,17,30,8.369120267944936,0.0026041666666666665,0.033854166666666664,0.007378472222222222,0.013020833333333334,4.543576533820566e-06
4515,AMERICAN AIRLINES INC,201002,2010-02-17,10-K,https://www.sec.gov/Archives/edgar/data/4515/0000004515-10-000006.txt,27766,338,941,-0.4714620793811868,17.192569659442725,12637,0.45512497298854715,593,364,7.059077852972509,0.012173161420442268,0.03389036951667507,0.02135705539148599,0.01310955845278398,5.5128728610356203e-05
4515,AMERICAN AIRLINES INC,201004,2010-04-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-10-000016.txt,7958,91,368,-0.6034858374651725,19.796019900497512,3434,0.43151545614476,151,94,8.091014142656908,0.011435033928122644,0.046242774566473986,0.018974616737873838,0.011812013068610204,1.4236539805971107e-05
4515,AMERICAN AIRLINES INC,201007,2010-07-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000950123-10-066865.txt,167679,189,4312,-0.9160186623159255,43.21623711340206,27317,0.1629124696592895,380,281,17.35165983322454,0.0011271536686168215,0.025715802217331926,0.002266234889282498,0.0016758210628641632,4.255816686678597e-05
4515,AMERICAN AIRLINES INC,201010,2010-10-20,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000950123-10-094615.txt,100459,180,4095,-0.9157894734699907,79.1015748031496,17960,0.1787794025423307,310,246,31.712141682276776,0.001791775749310664,0.040762898296817604,0.0030858360127016993,0.002448760190724574,3.7257327577328645e-05
4962,AMERICAN EXPRESS CO,201404,2014-04-29,10-Q,https://www.sec.gov/Archives/edgar/data/4962/0001193125-14-167067.txt,1593300,6347,2400,0.45124042523708235,187.20479379626366,47039,0.029523002573275593,770,678,74.89372671953478,0.003983556141341869,0.0015063076633402373,0.0004832737086549928,0.000425531914893617,0.0001026848296643448
4962,AMERICAN EXPRESS CO,201407,2014-07-30,10-Q,https://www.sec.gov/Archives/edgar/data/4962/0001193125-14-286961.txt,1931199,6697,2550,0.44846977393225157,197.3430410790926,48939,0.025341251730142778,799,648,78.9473529323291,0.0034677938420639197,0.0013204232189432574,0.0004137326086022207,0.00033554284151969836,9.814125313052423e-05
5588,AMERICAN PAD & PAPER CO,199611,1996-11-06,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000930661-96-001510.txt,4698,25,81,-0.5283018818084728,12.395778364116095,1939,0.4127288207747978,54,25,5.1234028739563575,0.005321413367390379,0.017241379310344827,0.011494252873563218,0.005321413367390379,3.786313778183805e-06
5588,AMERICAN PAD & PAPER CO,199703,1997-03-31,10-K,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-002428.txt,29861,350,829,-0.40627650516855257,17.240762124711317,12736,0.4265094939888148,350,358,7.066908647480052,0.011720973845484076,0.027761963765446568,0.011720973845484076,0.01198888181909514,5.4220013303592094e-05
5588,AMERICAN PAD & PAPER CO,199705,1997-05-15,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-003934.txt,3775,26,24,0.03999999920000002,21.947674418604652,1483,0.3928476821192053,59,16,8.936208840289543,0.006887417218543046,0.006357615894039735,0.015629139072847683,0.00423841059602649,2.4232408180376354e-06
5588,AMERICAN PAD & PAPER CO,199708,1997-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-006223.txt,7486,70,150,-0.3636363619834711,14.451737451737452,3239,0.4326743254074272,100,57,5.953764710857953,0.009350788137857334,0.02003740315255143,0.013358268768367619,0.007614213197969543,8.632795414259075e-06
5588,AMERICAN PAD & PAPER CO,199711,1997-11-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-008577.txt,3909,21,28,-0.14285713994169102,22.859649122807017,1636,0.41852136096188286,60,20,9.31126819350756,0.005372217958557176,0.007162957278076234,0.015349194167306216,0.005116398055768739,3.0290510225470443e-06
5588,AMERICAN PAD & PAPER CO,199803,1998-03-27,10-K,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-002477.txt,20667,195,299,-0.21052631536330704,17.83175150992235,8622,0.4171868195674263,256,141,7.299575331795911,0.009435331688198578,0.014467508588571152,0.012386896985532492,0.006822470605312818,2.1354809708956662e-05
